,Name,Location,Price,Kms_driven,Fuel_type,Year,Company
131,Maruti Suzuki Wagon,Pune,447099,41065, Petrol ,2017,Maruti
132,Renault Kwid -,Pune,504599,2311, Petrol ,2019,Renault
133,Hyundai Grand i10,Pune,620999,2991, Petrol ,2018,Hyundai
134,Hyundai Grand i10,Pune,433999,29762, Petrol ,2015,Hyundai
135,Skoda Rapid -,Pune,627499,91917, Diesel ,2016,Skoda
136,Maruti Suzuki Swift,Delhi,360000,0, Diesel,2014,Maruti
137,Toyota Fortuner 3.0,Bangalore,1375000,131000, Diesel,2012,Toyota
138,Maruti Suzuki 800,Chennai,69000,85000, Petrol,2000,Maruti
139,Tata Nano -,Chennai,89000,37000, Petrol,2011,Tata
140,Tata Indica -,Chennai,89000,67000, Diesel,2011,Tata
141,Audi Q7 3.0,Mumbai,2200000,120000, Diesel,2013,Audi
142,Jaguar XJ L,Mumbai,4425000,71000, Diesel,2016,Jaguar
143,Mercedes Benz GL,Mumbai,4450000,105000, Diesel,2016,Mercedes
144,Renault Kwid -,Pune,504599,2311, Petrol ,2019,Renault
145,Maruti Suzuki Dzire,Pune,704199,30771, Petrol ,2018,Maruti
146,Hyundai Santro Sportz,Pune,513099,29488, Petrol ,2018,Hyundai
147,Renault Kwid -,Pune,469399,36559, Petrol ,2019,Renault
148,Honda WR V,Pune,844199,38242, Diesel ,2018,Honda
149,Maruti Suzuki Ignis,Pune,544799,66426, Petrol ,2017,Maruti
150,Volkswagen Polo -,Pune,710899,16950, Petrol ,2018,Volkswagen
151,Maruti Suzuki Baleno,Pune,580599,18866, Petrol ,2016,Maruti
152,Maruti Suzuki Swift,Pune,638499,53245, Diesel ,2017,Maruti
153,Hyundai Verna -,Pune,654699,44543, Petrol ,2016,Hyundai
154,Maruti Suzuki S,Pune,894199,50128, Diesel ,2018,Maruti
155,Maruti Suzuki S,Pune,858599,56349, Diesel ,2018,Maruti
156,Maruti Suzuki S,Pune,992199,69524, Diesel ,2017,Maruti
157,Volkswagen Polo -,Pune,714999,41218, Petrol ,2017,Volkswagen
158,Maruti Suzuki Baleno,Pune,765599,9085, Petrol ,2020,Maruti
159,MG Motors Hector,Bangalore,1800299,11292, Diesel ,2019,MG
160,Mercedes Benz C,Mumbai,1190000,75000, Diesel ,2011,Mercedes
161,Hyundai Creta 1.6,Hyderabad,1452000,28000, Diesel,2018,Hyundai
162,Skoda Rapid Style,Hyderabad,1026000,48000, Diesel,2018,Skoda
163,Maruti Suzuki Ertiga,Hyderabad,821000,51000, Diesel,2017,Maruti
164,Hyundai Grand i10,Chennai,725000,24990, Petrol,2020,Hyundai
165,Maruti Suzuki Ertiga,Delhi,600000,48600, Diesel ,2015,Maruti
166,Maruti Suzuki Alto,Delhi,336000,3600, Petrol ,2019,Maruti
167,Tata Indigo eCS,Nanded,200000,115000, Diesel,2012,Tata
168,Maruti Suzuki Dzire,Pune,680699,29594, Petrol ,2019,Maruti
169,Honda City VX,Pune,714899,55953, Petrol ,2015,Honda
170,Maruti Suzuki Alto,Pune,316799,16980, Petrol ,2016,Maruti
171,Ford Ecosport -,Pune,675099,41828, Diesel ,2016,Ford
172,Maruti Suzuki S,Pune,1057399,64803, Diesel ,2018,Maruti
173,Maruti Suzuki Ertiga,Pune,938099,44460, Diesel ,2018,Maruti
174,Tata Nexon -,Pune,1057699,14276, Diesel ,2018,Tata
175,Maruti Suzuki Wagon,Pune,610099,23425, Petrol ,2019,Maruti
176,Maruti Suzuki Alto,Pune,452199,23056, Petrol ,2018,Maruti
177,Hyundai Elite i20,Pune,712699,16102, Petrol ,2019,Hyundai
178,Maruti Suzuki Vitara,Pune,838699,56615, Diesel ,2019,Maruti
179,Mahindra TUV300 -,Pune,666899,70317, Diesel ,2015,Mahindra
180,MG Motors Hector,Bangalore,1681899,6760, Petrol ,2020,MG
181,MG Motors Hector,Chennai,1854599,8870, Petrol ,2020,MG
182,Maruti Suzuki Baleno,Pune,571499,78209, Petrol ,2016,Maruti
183,Volkswagen Vento -,Pune,589199,64292, Petrol ,2015,Volkswagen
184,Toyota Innova Crysta,Chennai,2350000,57000, Diesel,2020,Toyota
185,Toyota Fortuner -,Chennai,3650000,42000, Diesel,2019,Toyota
186,Toyota Innova 2.5,Hyderabad,445000,141000, Diesel,2011,Toyota
187,Ssangyong Rexton RX7,Malappuram,1231000,82000, Diesel,2017,Ssangyong
188,Toyota Fortuner 3.0,Chandigarh,1231000,117000, Diesel ,2012,Toyota
189,Mahindra TUV300 T8,Chennai,600000,70000, Diesel,2015,Mahindra
190,Hyundai i20 Magna,Bangalore,320000,89450, Diesel ,2011,Hyundai
191,Maruti Suzuki Ertiga,Madurai,1175000,29000, Petrol,2020,Maruti
192,Maruti Suzuki Alto,Pune,351699,58771, Petrol ,2015,Maruti
193,Maruti Suzuki Alto,Pune,299199,53266, Petrol ,2016,Maruti
194,Honda Amaze -,Pune,657199,9200, Petrol ,2019,Honda
195,Ford Ecosport -,Pune,539299,61721, Petrol ,2014,Ford
196,Hyundai Grand i10,Pune,608399,18333, Petrol ,2017,Hyundai
197,Ford Ecosport -,Pune,1042799,51780, Petrol ,2019,Ford
198,Maruti Suzuki Baleno,Pune,645199,30854, Petrol ,2018,Maruti
199,Ford Ecosport -,Pune,811899,24680, Petrol ,2017,Ford
200,Volkswagen Vento -,Pune,557799,85663, Petrol ,2015,Volkswagen
201,Mahindra Bolero -,Pune,873999,20541, Diesel ,2021,Mahindra
202,Hyundai i20 Magna,Pune,278299,64182, Petrol ,2010,Hyundai
203,Maruti Suzuki S,Pune,986399,58819, Diesel ,2017,Maruti
204,Maruti Suzuki Wagon,Pune,610099,32057, Petrol ,2019,Maruti
205,Jeep Compass -,Pune,1749899,18403, Petrol ,2018,Jeep
206,Maruti Suzuki Alto,Pune,443899,7877, Petrol ,2018,Maruti
207,Hyundai Verna 1.6,Pune,936299,15509, Petrol ,2018,Hyundai
208,Honda Jazz VX,Madurai,850000,15000, Petrol,2018,Honda
209,Maruti Suzuki Ignis,Madurai,595000,75000, Diesel,2017,Maruti
210,Hyundai i10 Magna,Mumbai,175000,62000, Petrol,2008,Hyundai
211,Hyundai Creta 1.6,Chennai,930000,134500, Diesel,2018,Hyundai
212,Toyota Fortuner 3.0,BolpurSantiniketan,1500000,63896, Diesel,2012,Toyota
213,Mahindra Scorpio -,Chennai,159000,90000, Diesel,2005,Mahindra
214,Maruti Suzuki Alto,Chennai,69000,58000, Petrol,2007,Maruti
215,Ford Ikon -,Chennai,69000,85000, Diesel,2008,Ford
216,Maruti Suzuki Baleno,Pune,580599,48329, Petrol ,2016,Maruti
217,Renault Kwid RXT,Pune,404499,21301, Petrol ,2019,Renault
218,Maruti Suzuki Vitara,Pune,838699,34566, Diesel ,2019,Maruti
219,Renault Kwid -,Pune,446499,34297, Petrol ,2018,Renault
220,Tata Hexa -,Pune,1047499,119571, Diesel ,2017,Tata
221,Maruti Suzuki Alto,Pune,345599,27957, Petrol ,2018,Maruti
222,Ford Ecosport -,Pune,784399,27210, Petrol ,2018,Ford
223,Maruti Suzuki Swift,Pune,489399,21610, Petrol ,2014,Maruti
